name,alexa_rank,city,state,country,hq,website,employees_on_linkedin,followers,founded,industry,linkedin_url,overview,ownership_type,sic_codes,size,specialties,total_funding,technologies,company_hubs,events,categories,type
Built-ID,,London,England,United Kingdom,London,https://www.built-id.com,18,1273,2015,Information Technology and Services,https://www.linkedin.com/company/built-id,"Featured as one of the PropTech companies changing real estate forever and one of Forbes’ Groundbreaking Female Founded PropTech Startups, Built-ID is the tech-for-good innovator behind the market-leading community engagement platform, Give My View. 
By making it easy for hard-to-reach groups to have a constructive influence on decision-making, Built-ID consistently generates unprecedented community engagement results for industry leaders, including Grosvenor Estate, The Collective, Manchester Arena, Legal & General, RWE, City of London, Cadogan Estates, C C Land, Mitsubishi Estate, Haringey Council and many more, both in the property industry and increasingly beyond.
Play around with answering a demo poll: Public Realm Space
https://www.givemyview.com/canterburyclose/polls/5c3765b8253f3a0004c9807f",Privately Held,,11-50 employees,"Real Estate, Tech, Planning, , Community Engagement, Networking, Search Engine, Proptech, and Digital Engagement, Plantech",1100000,"Segment, Unbounce, Nodejs, Expressjs",,,"Real Estate, Search Engine, , Commercial Real Estate",B2B
LYS FASHION,,,,,PARIS,https://lysfashion.com,0,0,,Wholesale,https://www.linkedin.com/company/lys-fashion,"LYS FASHION is a wholesale company based out of 220 RUE SAINT DENIS, PARIS, France.",,,,,0,Sendgrid,,,"Brand Marketing, , Fashion",B2B
Far.me,,São Paulo,State of São Paulo,Brazil,"São Paulo, São Paulo",http://www.farme.com.br,50,1803,2018,"Health, Wellness and Fitness",https://www.linkedin.com/company/farme,"A Far.me nasceu para simplificar a vida de quem toma medicamentos contínuos. Estamos revolucionando o mercado do varejo farmacêutico no Brasil e somos a primeira farmácia a fornecer um serviço totalmente personalizado. 

Sabemos o quanto a rotina de pacientes com doenças crônicas pode ser difícil. Tomar os medicamentos no horário, dia e dose corretos é desafiador. 
Embalagens e nomes parecidos, múltiplos horários de administração e esquecimentos são alguns dos motivos que tornam o uso dessas medicações bastante complexo.

Para isso, contamos com a construção de um time de muitos profissionais talentosos para garantir que milhares de polimedicados e seus familiares vivam com mais qualidade. Fornecemos a Far.me box como um dispositivo que facilita a tomada diária de medicamentos, além do acompanhamento 7 dias por semana com a equipe farmacêutica e inúmeros outros benefícios que vale a pena você entender no nosso site: www.farme.com.br

Nossa missão é promover o uso seguro e a adesão adequada aos tratamento, reduzindo complicações decorrentes da utilização contínua em pacientes com doenças crônicas. Desde 2018 seguimos adiante com esse propósito e estamos crescendo o time cada vez mais para atingir esse desafio. 

Mesclamos o cuidado à saúde com tecnologia! Todo o nosso processo é mais fluido, seguro e agradável do que o atendimento das demais farmácias tradicionais, além de fazermos questão de acompanhar todos os nossos clientes de maneira próxima e constante. 

Simplifique!",Privately Held,,11-50 employees,"Bem Estar, Segurança, Saúde, Qualidade de Vida, Farmácia, Medicamentos, Confiabilidade, Comodidade, Conforto, Idosos, Uso seguro de medicamentos, Cuidado com a Vida, Descontos de Laboratório, Dispensação Personalizada, Doenças crônicas, Individualização do tratamento medicamentoso, Polifarmácia, and Far.me",0,FrontPage,,,"Medical, Health Care,",B2C
Tika,,San Francisco,California,United States,"San Francisco, CA",http://www.tika.ai,11,182,2015,Computer Software,https://www.linkedin.com/company/tika-ai,"For managers that want to better understand how their employees are doing, Tika is a conversational AI that uncovers the most important topics managers and employees need to discuss, increasing productivity and engagement while reducing attrition of valuable talent.",Privately Held,,2-10 employees,"People Analytics, Internal Mobility, Talent Mobility, and Adaptive Directory",0,"Google Cloud, Intercom, Google Cloud DNS",Companies with a .AI domain,,"Artificial Intelligence, Human Resources, Developer Tools, Productivity Tools, SaaS, , Collaboration, Predictive Analytics",B2B
GMR Transcription Services,221440,Tustin,California,United States,"Tustin, CA",https://www.gmrtranscription.com,50,1308,2004,Translation and Localization,https://www.linkedin.com/company/gmr-transcription-services-inc-,"GMR Transcription has built a reputation for providing accurate and affordable transcription & translation services in the United States. It is rapidly expanding and has already recorded several million minutes of transcribed audio, serving thousands of satisfied clients. This makes GMR a trusted source for transcription services in a fast TAT for its clients.

The company hires a diverse mix of U.S. based transcribers to exceed clients' expectations. GMR Transcription guarantees a 99% accuracy rate for high-quality audios and videos. The company specializes in podcast transcription, legal transcription, business transcription and many other forms of transcription & translation services.

The company has pioneered translation services in nearly all fields that cover many languages and dialects. It prides itself in being a proud member of the American Translation Association (ATA) and covers a wide area of services, including audio, video and text-to-text translation.",Privately Held,7389,2-10 employees,"Translation Services, Transcription Services, Business Transcription, Legal Transcription, Video Transcription, Audio Transcription, Editing Services, Academic Transcription, Podcast Transcription, Proofreading Services, Spanish Transcription",0,"HubSpot, LiveChat, Microsoft ASP.NET, YouTube, Google AdWords",Companies with HQ in the USA with employees outside of the USA,,"Professional Services, , Translation Service, Podcast,",B2B B2C
Fazenda Rentável,,Goiânia,State of Goiás,Brazil,"Goiânia, Goiás",http://www.fazendarentavel.com.br,8,606,2017,Farming,https://www.linkedin.com/company/fazendarentavel,Transformamos Pequenas Fazendas em Grandes Negócios!,Partnership,,2-10 employees,"Agronegócio, Pecuária, Hortifruti, Fruticultura, Alta Produtividade, and Granja, Psicultura",0,,,,"Farming, Livestock, Consumer, Small and Medium Businesses, Agriculture, AgTech, ,",B2B B2C
Advertis,,Barcelona,Catalonia,Spain,"Barcelona, Cataluña",https://advertis.es,65,1024,1991,Marketing and Advertising,https://www.linkedin.com/company/advertis,"Advertis es una agencia de publicidad on/offline, que desarrolla campañas publicitarias, diseña y produce todo tipo de soportes de comunicación comercial, ofreciendo un completo servicio en publicidad, comunicación digital e imagen de producto y corporativa. Está compuesta por un equipo humano preparado afrontar los nuevos retos actuales, por los nuevos canales y formas de publicidad que estan apareciendo en la actualidad.
Advertis trabaja para medianas y grandes compañías en todos los sectores, como por ejemplo, el Farmacéutico, el Textil, la Construcción, la Decoración y la Alimentación, entre otros.",Privately Held,,11-50 employees,"Diseño web, eCommerce, eMail Marketing, SEM, Publicidad online, Redes Sociales, SEO, Marketing digital, Social Ads, Agencia Digital, Gestión Tienda Online, Analitica web, Consultoria digital, Programacion web, Consultoria ecommerce, and Anuncios display",0,Vue.js,,,"E-Commerce, ,",B2B B2C
LIVE Consulting,,Denver,Colorado,United States,"Denver, CO",http://liveconsulting.com,23,231,2004,Information Technology and Services,https://www.linkedin.com/company/liveconsulting-llc,"LIVE Consulting is the complete IT solution for business. Focused on the Denver market, we provide expert IT planning, support, and delivery to companies desiring streamlined technology and processes.

LIVE Consulting was founded in 2004 around the idea that small and medium sized businesses deserve access to Enterprise level service and technology.
 
There was a void in the marketplace for knowledgeable IT professionals with the desire to service the 1-100 PC size companies. Today, LIVE Consulting is one of the premier IT support firms in Denver.",Partnership,,11-50 employees,"Computer Support, Network Support, Server Support, IT Support, Help Desk Support, and IT Consulting",0,"HubSpot, Pardot, Salesforce, Hubspot CMS, Hubspot Form Builder, Salesforce Pardot",,,"Information Technology, Consulting, Software,",B2B
National BioService,,Saint Petersburg,,Russia,Saint-Petersburg,http://nbioservice.com,9,103,2013,Biotechnology,https://www.linkedin.com/company/national-bioservice-llc,"NBS was established as a key element of the biomedical research infrastructure in Russia integrated in and contributing to the global efforts of improving human health and advancing personalised medicine. NBS is the first in Russia research Biobank offering its customers a broad range of professional services focussing around sourcing, processing and analysis of biological samples and development of tissue-based products for research purposes. The highly professional and experienced team of NBS operates in strict compliance with international standards and is governed by the principles of transparency, ethics and customer satisfaction.",Privately Held,,51-200 employees,"Biobanking, Biomedical research, Human tissue macroarray, Preclinical studies",0,,,,"Biotechnology,",B2B
Lab123,,São Paulo,State of São Paulo,Brazil,"São Paulos, São Paulos, Brazil",http://www.lab123.com.br,2,32,2013,Information Technology and Services,https://www.linkedin.com/company/lab123it,"Somos uma empresa criada para fazer com que a tecnologia faça a diferença na vida dos nossos clientes e que de fato ela facilite e os ajude a atingirem seus objetivos, sejam eles comerciais ou pessoais.

Estamos no mercado para estabelecer parcerias, seguindo a tendência desse século que é compartilhar o conhecimento adquirido, já que a tecnologia está presente em todas as áreas, vamos juntar os conhecimentos! Tudo isso não somente com interesses comerciais, mas principalmente com o objetivo de oferecer serviços de qualidade que por si só é o maior atrativo comercial que existe.

Faça-nos uma visita!",Privately Held,,2-10 employees,"big data, analytics, machine learning, marketing digital, telecomunicações",0,Laravel,,,"Big Data, Professional Services,",B2B
